#OTU ID	GB11	GB12	GB14	GB21	GB22	GB23	GB24	GB25	GB26	GB31	GB32	GB33	GB34	GB35	GB36	GB41	GB42	GB43	GB44	GB45	GB46	GB51	GB52	GB53	GB54	GB55	GB56	GB61	GB62	GB63	GB64	GB65	GB66	GB71	GB72	GB73	GB74	GB75	GB76	GB81	GB82	GB83	GB84	GB85	GB86	PE11	PE12	PE14	PE15	PE16	PE21	PE22	PE23	PE24	PE25	PE26	PE31	PE32	PE33	PE34	PE35	PE36	PE41	PE42	PE43	PE44	PE45	PE46	PE51	PE52	PE53	PE54	PE55	PE56	PE61	PE62	PE63	PE64	PE65	PE66	PE71	PE72	PE73	PE74	PE75	PE76	PE81	PE82	PE83	PE84	PE85	PE86	PBS12	PBS13	PBS14	PBS15	PBS16	PBS21	PBS22	PBS23	PBS24	PBS25	PBS26	PBS31	PBS32	PBS33	PBS34	PBS35	PBS36	PBS41	PBS42	PBS43	PBS44	PBS45	PBS46	PBS51	PBS52	PBS53	PBS54	PBS55	PBS56	PBS61	PBS62	PBS63	PBS64	PBS65	PBS66	PBS71	PBS72	PBS73	PBS74	PBS75	PBS76	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86
ASV1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1893	0	0	0	0	0	0	0	0	375	0	0	0	0	0	4844	659	5438	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	3207	7625	0	0	3431	0	44557	7469	0	19025	0	53103	19458	22523	0	47033	14976	26449	0	0	0	0	4617	0	6763	0	10027	0	33821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3808	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	3126	0	0	0	0	0	1112	1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5769	0	0	0	4422	0	0	0	6841	2810	0	0	7041	0	0	0	0	20998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5243	0	0	0	7171	0	0	0	0	0	0	0	8069	0	0	0	0	0	29365	166936	39061	11381	9875	8808
ASV5732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8425	0	0	0	0	100031	0	0	0	82376	102440	0	43358	0	0	0
ASV3259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61074	0	0	0	0	0	10441	0	62366	0	11732	0	142041	0	21677	0	14782	0	15000
ASV2815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44425	0	0	0	0	0	0	0	0	55075	0	0	53326	185811	0	0	0	0	0
ASV1958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	342	0	0	4112	678	5532	1238	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1379	0	115460	130657	34616	18286	10633	9363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2562	0	0	0	0	0	52996	2465	0	0	16045	56699	29544	86217	20010	42961	28394
ASV2192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988	0	0	0	1394	0	2503	0	2878	1908	3525	0	4857	2829	4956	2625	0	2741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19246	0	4845	13400	34513	15196	0	13225	73947	24513	38664	27587	20762	20631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV2571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	0	0	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	1162	0	2830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23942	0	0	28540	0	0	46356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33868	0	50485	0	0	0	0	91692	0	0	18269	39108
ASV3160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2993	0	0	0	0	0	6743	0	0	0	0	0	9511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6589	0	0	0	0	0	253855	0	0	0	0	0	56816	0	0	0	0
