ASV_ID	GB81	GB82	GB83	GB84	GB85	GB86	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86	PE81	PE82	PE83	PE84	PE85	PE86
ASV112	1516	1602	1290	1673	2712	0	0	0	0	0	0	0	187762	14388	14314	0	89187	0
ASV113	173966	57864	222222	138625	79069	427330	1086484	514548	1216817	365574	375885	380524	903662	1294322	966778	1051119	1177560	925786
ASV115	11357	48027	11469	92553	24630	90789	218912	48797	233646	168185	40921	72565	6337	262860	23070	160542	162443	95588
ASV116	48769	101844	44755	94703	53089	22871	23060	69569	0	72303	19313	0	61981	269349	121038	161535	216081	24452
ASV117	9006	65282	94402	75121	86756	127956	0	22780	31470	110344	161909	19358	0	50334	41918	204947	97910	68420
ASV118	0	0	0	0	0	0	0	0	0	8291	0	0	0	27771	37904	7634393	417571	0
ASV119	1432	0	0	1549	1318	13948	0	20865	0	0	0	0	17262	7438	0	0	11644	6240
ASV120	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV121	0	0	0	0	0	0	0	16462	46155	24082	56177	0	758572	6138359	969454	973852	1271765	220192
ASV122	1024	1298	1880	0	1538	7277	120290	16080	134270	19148	43618	28158	0	0	3344	15312	7938	0
ASV123	180887	84368	39840	51592	1904	499748	74017	0	28296	23505	0	13338	677812	205386	121278	126364	32122	1510851
ASV124	2456	0	0	3098	0	1502	0	25487	0	9701	0	0	0	10060	0	0	0	0
ASV125	0	0	0	0	0	0	354660	258231	1436404	565732	394382	521705	0	0	0	0	0	0
ASV126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV128	113522	25902	47410	192836	36606	11320	18108	11741	0	31452	0	0	128528	208447	144630	228504	187175	29418
ASV129	1024	928	7101	0	0	0	1477618	1449464	6696691	5361824	2781914	947595	0	28762	0	0	0	0
ASV130	818	2411	4386	1356	1976	13746	2703018	1078292	5563792	1245954	1008221	1881110	11430	0	8918	0	16671	8914
ASV131	4912	3833	6126	3743	2343	10646	138139	94946	75993	89617	19791	119020	9020	9753	9513	6910	11114	15452
ASV132	0	0	0	1589	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV133	1392	0	0	0	8815	1238	0	0	0	0	0	0	0	0	0	0	160032	0
ASV134	0	0	0	0	0	0	0	0	0	0	0	0	30791	0	0	0	0	0
ASV135	0	0	0	0	0	0	0	0	0	0	0	0	0	2798909	7556745	0	528711	20656563
ASV136	0	0	0	0	0	0	0	0	0	0	0	0	96782	15259	10398	0	10305	0
ASV138	0	0	0	0	0	0	364173	219429	619028	207337	188441	180550	0	0	0	0	0	0
ASV139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5426087	18288810	5160625	0
ASV140	497	0	3890	3292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV142	699	905	1630	567	1286	690	367966	65551	318958	500419	279382	121331	0	0	0	0	8907	0
ASV144	0	0	0	0	0	0	22714	13446	0	0	0	6963	0	0	3372	0	0	0
ASV145	99059	28932	149123	97193	46563	132201	543242	313553	793029	416897	333866	211185	774434	773618	718395	1358775	685896	464007
ASV146	0	0	0	0	0	0	3680595	1209801	4936269	1087775	1796757	1190718	0	0	0	0	0	0
ASV147	0	0	0	0	0	0	362161	777055	533348	63824	315749	209621	0	0	0	0	0	0
ASV148	0	0	0	0	0	0	0	0	0	0	0	0	2159086	3137615	1199108	434865	1175972	102073
ASV149	0	0	2088	774	878	0	24058	49196	0	18358	40420	19358	0	5951	0	0	9262	0
ASV150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV151	0	0	0	0	0	0	0	0	0	167917	202938	116543	0	0	0	0	0	0
ASV152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188712	0
ASV154	0	556	0	0	0	0	14745	0	19581	0	10962	23660	0	0	0	0	0	0
ASV155	0	0	0	0	0	2215	0	0	0	0	0	0	0	26324	0	0	0	0
ASV156	0	0	0	0	0	0	907990	296133	544071	241610	514730	272976	28225	16861	22966	14606	21434	0
ASV157	981	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV158	0	0	0	0	0	0	106114	507600	339194	0	107190	46956	0	0	0	0	0	0
ASV159	33402	13056	35422	10533	14408	28785	1044266	520062	2089010	1024240	688376	433320	14182	40070	26042	0	37682	35658
ASV160	1122	1143	2861	1857	903	5400	94084	125868	312778	19469	87904	37233	57357	62159	96211	24364	58724	38773
ASV161	4698	912	5478	0	2161	11267	376580	342053	1124644	409351	286015	341076	34416	184543	17911	64107	38608	36535
ASV162	0	0	0	0	0	0	0	9728	21782	0	0	0	0	0	0	0	0	0
ASV163	14736	2077	10694	6815	3514	13261	487986	276876	708271	376154	492533	125459	8584	0	0	0	11431	0
ASV164	378	294	0	0	0	0	0	0	0	0	0	0	2523	0	0	0	0	0
ASV165	0	1262	0	0	0	0	31676	117719	0	0	0	0	0	0	0	0	0	0
ASV166	0	0	139572	465	0	0	0	0	0	0	0	0	0	0	32909	0	0	0
ASV167	0	3614	4070	0	0	2903	0	0	23669	0	0	0	8134	0	0	0	0	8686
ASV168	0	252	0	0	0	0	1364177	586123	2324883	4700	0	1463	0	6578	0	1282	360	0
ASV169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV170	7164	2968	1253	4260	5710	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV171	20876	742	0	581	1098	1213	24058	0	0	0	0	15839	88640	0	0	1884	0	37442
ASV173	1852	504	1890	350	1391	2378	223337	77090	135434	51805	96512	67068	33776	0	28854	8314	29695	5244
ASV174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV175	51576	58605	13844	124132	3765	172110	68737	19580	50351	85162	0	29387	51984	246537	32107	200976	31301	138304
ASV176	0	0	608	9152	5271	0	0	0	0	0	0	0	0	0	0	17989	22324	0
ASV177	8500	1824	228	635	480	4419	17811	28034	27514	0	4992	10044	3569	15175	0	6179	4627	4140
ASV178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV179	18557	9149	18379	24008	10249	12937	0	38029	0	281089	172338	159562	76511	110092	189967	209501	144306	41899
ASV180	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV181	0	0	0	0	0	0	0	847861	0	1520388	0	0	24924	22191	0	146506	0	0
ASV182	2606	972	4693	0	2632	5754	26741	46601	0	0	0	0	4543	0	0	0	0	0
ASV183	4230	0	0	0	1025	2426	213675	113578	102567	18029	168532	87994	0	0	0	0	0	5943
ASV184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
