#OTU ID	GB51	GB52	GB53	GB54	GB55	GB56
ASV403	3734	4004	2762	2000	5204	2695
ASV404	0	0	0	10398	0	0
ASV406	3830	0	0	8204	0	0
ASV407	22798	11283	3552	26394	18312	11550
ASV408	3949	8310	6127	6574	7041	4219
ASV409	0	875	0	5576	2224	0
ASV410	0	0	0	0	0	0
ASV411	2442	1077	817	1657	4790	1709
ASV413	0	0	0	0	0	0
ASV414	3075	2723	1477	0	0	2357
ASV415	0	1456	3749	0	2698	0
ASV416	0	0	0	0	0	0
ASV417	0	0	0	0	0	0
ASV418	295	0	0	900	0	0
ASV420	0	0	0	18474	587	0
ASV421	5649	3705	5199	5029	9465	2305
ASV422	0	0	2565	15197	8288	2695
ASV423	2558	1371	811	3424	1716	1978
ASV424	5815	3984	2335	3668	5246	5125
ASV425	0	0	0	0	0	0
ASV426	0	0	0	0	0	0
ASV427	5110	1941	3289	2000	1799	2310
ASV428	850	0	949	0	556	0
ASV429	0	0	0	0	0	0
ASV430	982	0	1776	5999	0	0
ASV431	0	0	0	0	0	0
ASV432	0	8007	3552	5999	0	2310
ASV433	12594	15549	9579	5436	27696	9345
ASV434	0	0	0	0	0	0
ASV435	1477	2314	5132	0	3565	1224
ASV436	0	0	0	0	0	0
ASV437	1317	17192	8131	1943	775	838
ASV438	5675	5839	7175	4705	0	5147
ASV439	3051	2659	541	2374	3345	1758
ASV440	0	0	1002	0	587	586
ASV441	12741	1757	1497	1379	4786	4646
ASV442	0	619	0	0	0	0
ASV443	0	728	0	0	0	385
ASV444	0	0	0	0	0	0
ASV445	5503	2184	3157	7732	3084	1027
ASV446	0	0	0	0	0	0
ASV447	0	237	514	0	0	0
ASV448	1606	4637	14419	6729	1668	1944
ASV449	0	0	0	0	0	0
ASV450	0	0	0	0	0	0
ASV451	0	0	0	0	0	0
ASV453	1179	0	0	0	0	0
ASV454	0	0	1184	2000	0	2310
ASV455	0	0	113	0	0	0
ASV456	0	0	0	0	0	0
ASV457	1396	0	0	0	0	0
ASV459	13317	0	0	19231	0	0
ASV460	0	0	0	0	0	0
ASV461	0	0	0	0	0	0
ASV462	22999	4065	0	0	12509	8396
ASV463	9303	8493	3946	0	10152	5390
ASV464	0	0	0	0	0	0
ASV465	0	0	0	0	0	0
ASV466	0	0	0	0	0	0
ASV467	9827	1456	3552	3999	0	4235
ASV468	2005	2723	3221	2720	4065	2750
ASV469	1441	121	0	5599	0	1155
ASV470	0	0	0	0	0	0
ASV471	0	0	0	0	0	0
ASV472	294	999	1181	0	1346	0
ASV473	0	0	0	0	0	0
ASV474	0	0	0	0	0	0
ASV475	1596	0	0	1827	0	0
ASV476	3411	3490	1442	7853	0	0
ASV478	5736	9060	0	14074	0	6609
ASV480	0	0	0	0	0	0
ASV481	1925	751	509	824	795	2381
ASV483	0	0	592	0	0	0
ASV484	0	0	0	0	0	0
ASV485	23720	29117	1905	0	16750	531
ASV486	0	448	243	2213	0	0
ASV487	3254	11088	3789	4900	4340	3060
ASV488	0	0	0	0	0	0
ASV489	2431	2439	1322	2371	1292	2778
ASV490	5503	4610	3946	8531	1799	6417
ASV491	0	0	0	0	0	0
ASV492	0	0	0	0	0	0
ASV493	0	0	0	0	0	0
ASV494	9378	3510	1002	6090	11937	5081
ASV495	9097	3848	4059	3085	2313	4730
ASV496	0	0	0	0	0	0
ASV497	0	0	0	0	0	0
ASV498	0	0	1841	0	0	2567
ASV499	6284	43453	6443	16323	46549	4845
